"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"243",NA,"Texas",48,2003,2003,1753,22030931,"8","TX"
"244",NA,"Utah",49,2003,2003,353,2360137,"15","UT"
"245",NA,"Vermont",50,2003,2003,65,617858,"10.5","VT"
"246",NA,"Virginia",51,2003,2003,547,7366977,"7.4","VA"
"247",NA,"Washington",53,2003,2003,696,6104115,"11.4","WA"
"248",NA,"West Virginia",54,2003,2003,262,1812295,"14.5","WV"
"249",NA,"Wisconsin",55,2003,2003,383,5479203,"7","WI"
"250",NA,"Wyoming",56,2003,2003,30,503453,"6","WY"
"251",NA,"Alabama",1,2004,2004,283,4530729,"6.2","AL"
"252",NA,"Alaska",2,2004,2004,86,659286,"13","AK"
"253",NA,"Arizona",4,2004,2004,744,5652404,"13.2","AZ"
"254",NA,"Arkansas",5,2004,2004,230,2749686,"8.4","AR"
"255",NA,"California",6,2004,2004,3125,35574576,"8.8","CA"
"256",NA,"Colorado",8,2004,2004,518,4575013,"11.3","CO"
"257",NA,"Connecticut",9,2004,2004,333,3496094,"9.5","CT"
"258",NA,"Delaware",10,2004,2004,63,830803,"7.6","DE"
"259",NA,"Florida",12,2004,2004,2264,17415318,"13","FL"
"260",NA,"Georgia",13,2004,2004,666,8769252,"7.6","GA"
"261",NA,"Hawaii",15,2004,2004,103,1273569,"8.1","HI"
"262",NA,"Idaho",16,2004,2004,98,1391802,"7","ID"
"263",NA,"Illinois",17,2004,2004,1035,12589773,"8.2","IL"
"264",NA,"Indiana",18,2004,2004,542,6233007,"8.7","IN"
"265",NA,"Iowa",19,2004,2004,122,2953635,"4.1","IA"
"266",NA,"Kansas",20,2004,2004,224,2734373,"8.2","KS"
"267",NA,"Kentucky",21,2004,2004,526,4146101,"12.7","KY"
"268",NA,"Louisiana",22,2004,2004,539,4552238,"11.8","LA"
"269",NA,"Maine",23,2004,2004,140,1313688,"10.7","ME"
"270",NA,"Maryland",24,2004,2004,676,5546935,"12.2","MD"
"271",NA,"Massachusetts",25,2004,2004,669,6412281,"10.4","MA"
"272",NA,"Michigan",26,2004,2004,867,10055315,"8.6","MI"
"273",NA,"Minnesota",27,2004,2004,250,5087713,"4.9","MN"
"274",NA,"Mississippi",28,2004,2004,224,2889010,"7.8","MS"
"275",NA,"Missouri",29,2004,2004,548,5747741,"9.5","MO"
"276",NA,"Montana",30,2004,2004,98,930009,"10.5","MT"
"277",NA,"Nebraska",31,2004,2004,59,1749370,"3.4","NE"
"278",NA,"Nevada",32,2004,2004,380,2346222,"16.2","NV"
"279",NA,"New Hampshire",33,2004,2004,124,1290121,"9.6","NH"
"280",NA,"New Jersey",34,2004,2004,590,8634561,"6.8","NJ"
"281",NA,"New Mexico",35,2004,2004,314,1903808,"16.5","NM"
"282",NA,"New York",36,2004,2004,831,19171567,"4.3","NY"
"283",NA,"North Carolina",37,2004,2004,854,8553152,"10","NC"
"284",NA,"North Dakota",38,2004,2004,17,644705,NA,"ND"
"285",NA,"Ohio",39,2004,2004,1136,11452251,"9.9","OH"
"286",NA,"Oklahoma",40,2004,2004,476,3525233,"13.5","OK"
"287",NA,"Oregon",41,2004,2004,365,3569463,"10.2","OR"
"288",NA,"Pennsylvania",42,2004,2004,1544,12410722,"12.4","PA"
"289",NA,"Rhode Island",44,2004,2004,106,1074579,"9.9","RI"
"290",NA,"South Carolina",45,2004,2004,356,4210921,"8.5","SC"
"291",NA,"South Dakota",46,2004,2004,43,770396,"5.6","SD"
"292",NA,"Tennessee",47,2004,2004,763,5910809,"12.9","TN"
"293",NA,"Texas",48,2004,2004,1813,22394023,"8.1","TX"
"294",NA,"Utah",49,2004,2004,358,2401580,"14.9","UT"
"295",NA,"Vermont",50,2004,2004,50,619920,"8.1","VT"
"296",NA,"Virginia",51,2004,2004,558,7475575,"7.5","VA"
"297",NA,"Washington",53,2004,2004,811,6178645,"13.1","WA"
"298",NA,"West Virginia",54,2004,2004,333,1816438,"18.3","WV"
"299",NA,"Wisconsin",55,2004,2004,437,5514026,"7.9","WI"
"300",NA,"Wyoming",56,2004,2004,46,509106,"9","WY"
"301",NA,"Alabama",1,2005,2005,283,4569805,"6.2","AL"
"302",NA,"Alaska",2,2005,2005,79,666946,"11.8","AK"
"303",NA,"Arizona",4,2005,2005,794,5839077,"13.6","AZ"
"304",NA,"Arkansas",5,2005,2005,269,2781097,"9.7","AR"
"305",NA,"California",6,2005,2005,3214,35827943,"9","CA"
"306",NA,"Colorado",8,2005,2005,608,4631888,"13.1","CO"
"307",NA,"Connecticut",9,2005,2005,295,3506956,"8.4","CT"
"308",NA,"Delaware",10,2005,2005,62,845150,"7.3","DE"
"309",NA,"Florida",12,2005,2005,2371,17842038,"13.3","FL"
"310",NA,"Georgia",13,2005,2005,738,8925922,"8.3","GA"
"311",NA,"Hawaii",15,2005,2005,126,1292729,"9.7","HI"
"312",NA,"Idaho",16,2005,2005,109,1428241,"7.6","ID"
"313",NA,"Illinois",17,2005,2005,1067,12609903,"8.5","IL"
"314",NA,"Indiana",18,2005,2005,610,6278616,"9.7","IN"
"315",NA,"Iowa",19,2005,2005,141,2964454,"4.8","IA"
"316",NA,"Kansas",20,2005,2005,241,2745299,"8.8","KS"
"317",NA,"Kentucky",21,2005,2005,638,4182742,"15.3","KY"
"318",NA,"Louisiana",22,2005,2005,661,4576628,"14.4","LA"
"319",NA,"Maine",23,2005,2005,163,1318787,"12.4","ME"
"320",NA,"Maryland",24,2005,2005,656,5592379,"11.7","MD"
"321",NA,"Massachusetts",25,2005,2005,780,6403290,"12.2","MA"
"322",NA,"Michigan",26,2005,2005,985,10051137,"9.8","MI"
"323",NA,"Minnesota",27,2005,2005,282,5119598,"5.5","MN"
"324",NA,"Mississippi",28,2005,2005,248,2905943,"8.5","MS"
"325",NA,"Missouri",29,2005,2005,608,5790300,"10.5","MO"
"326",NA,"Montana",30,2005,2005,96,940102,"10.2","MT"
"327",NA,"Nebraska",31,2005,2005,86,1761497,"4.9","NE"
"328",NA,"Nevada",32,2005,2005,457,2432143,"18.8","NV"
"329",NA,"New Hampshire",33,2005,2005,142,1298492,"10.9","NH"
"330",NA,"New Jersey",34,2005,2005,823,8651974,"9.5","NJ"
"331",NA,"New Mexico",35,2005,2005,373,1932274,"19.3","NM"
"332",NA,"New York",36,2005,2005,944,19132610,"4.9","NY"
"333",NA,"North Carolina",37,2005,2005,1000,8705407,"11.5","NC"
"334",NA,"North Dakota",38,2005,2005,12,646089,NA,"ND"
"335",NA,"Ohio",39,2005,2005,1243,11463320,"10.8","OH"
"336",NA,"Oklahoma",40,2005,2005,478,3548597,"13.5","OK"
"337",NA,"Oregon",41,2005,2005,386,3613202,"10.7","OR"
"338",NA,"Pennsylvania",42,2005,2005,1613,12449990,"13","PA"
"339",NA,"Rhode Island",44,2005,2005,156,1067916,"14.6","RI"
"340",NA,"South Carolina",45,2005,2005,427,4270150,"10","SC"
"341",NA,"South Dakota",46,2005,2005,40,775493,"5.2","SD"
"342",NA,"Tennessee",47,2005,2005,872,5991057,"14.6","TN"
"343",NA,"Texas",48,2005,2005,1910,22778123,"8.4","TX"
"344",NA,"Utah",49,2005,2005,438,2457719,"17.8","UT"
"345",NA,"Vermont",50,2005,2005,53,621215,"8.5","VT"
"346",NA,"Virginia",51,2005,2005,581,7577105,"7.7","VA"
"347",NA,"Washington",53,2005,2005,850,6257305,"13.6","WA"
"348",NA,"West Virginia",54,2005,2005,184,1820492,"10.1","WV"
"349",NA,"Wisconsin",55,2005,2005,518,5546166,"9.3","WI"
"350",NA,"Wyoming",56,2005,2005,26,514157,"5.1","WY"
"351",NA,"Alabama",1,2006,2006,398,4628981,"8.6","AL"
"352",NA,"Alaska",2,2006,2006,76,675302,"11.3","AK"
"353",NA,"Arizona",4,2006,2006,876,6029141,"14.5","AZ"
"354",NA,"Arkansas",5,2006,2006,285,2821761,"10.1","AR"
"355",NA,"California",6,2006,2006,3494,36021202,"9.7","CA"
"356",NA,"Colorado",8,2006,2006,627,4720423,"13.3","CO"
"357",NA,"Connecticut",9,2006,2006,407,3517460,"11.6","CT"
"358",NA,"Delaware",10,2006,2006,78,859268,"9.1","DE"
"359",NA,"Florida",12,2006,2006,2591,18166990,"14.3","FL"
"360",NA,"Georgia",13,2006,2006,830,9155813,"9.1","GA"
"361",NA,"Hawaii",15,2006,2006,86,1309731,"6.6","HI"
"362",NA,"Idaho",16,2006,2006,130,1468669,"8.9","ID"
"363",NA,"Illinois",17,2006,2006,1369,12643955,"10.8","IL"
"364",NA,"Indiana",18,2006,2006,736,6332669,"11.6","IN"
"365",NA,"Iowa",19,2006,2006,187,2982644,"6.3","IA"
"366",NA,"Kansas",20,2006,2006,257,2762931,"9.3","KS"
"367",NA,"Kentucky",21,2006,2006,728,4219239,"17.3","KY"
"368",NA,"Louisiana",22,2006,2006,705,4302665,"16.4","LA"
"369",NA,"Maine",23,2006,2006,159,1323619,"12","ME"
"370",NA,"Maryland",24,2006,2006,762,5627367,"13.5","MD"
"371",NA,"Massachusetts",25,2006,2006,970,6410084,"15.1","MA"
"372",NA,"Michigan",26,2006,2006,1176,10036081,"11.7","MI"
"373",NA,"Minnesota",27,2006,2006,311,5163555,"6","MN"
"374",NA,"Mississippi",28,2006,2006,339,2904978,"11.7","MS"
"375",NA,"Missouri",29,2006,2006,743,5842704,"12.7","MO"
"376",NA,"Montana",30,2006,2006,97,952692,"10.2","MT"
"377",NA,"Nebraska",31,2006,2006,91,1772693,"5.1","NE"
"378",NA,"Nevada",32,2006,2006,461,2522658,"18.3","NV"
"379",NA,"New Hampshire",33,2006,2006,149,1308389,"11.4","NH"
"380",NA,"New Jersey",34,2006,2006,847,8661679,"9.8","NJ"
"381",NA,"New Mexico",35,2006,2006,418,1962137,"21.3","NM"
"382",NA,"New York",36,2006,2006,1680,19104631,"8.8","NY"
"383",NA,"North Carolina",37,2006,2006,1059,8917270,"11.9","NC"
"384",NA,"North Dakota",38,2006,2006,14,649422,NA,"ND"
"385",NA,"Ohio",39,2006,2006,1515,11481213,"13.2","OH"
"386",NA,"Oklahoma",40,2006,2006,563,3594090,"15.7","OK"
"387",NA,"Oregon",41,2006,2006,485,3670883,"13.2","OR"
"388",NA,"Pennsylvania",42,2006,2006,1638,12510809,"13.1","PA"
"389",NA,"Rhode Island",44,2006,2006,175,1063096,"16.5","RI"
"390",NA,"South Carolina",45,2006,2006,554,4357847,"12.7","SC"
"391",NA,"South Dakota",46,2006,2006,37,783033,"4.7","SD"
"392",NA,"Tennessee",47,2006,2006,975,6088766,"16","TN"
"393",NA,"Texas",48,2006,2006,2191,23359580,"9.4","TX"
